风云音乐,rtmp://tv.zua.edu.cn/livetv/fyyytv
风云足球,rtmp://tv.zua.edu.cn/livetv/fyzqtv
怀旧剧场,rtmp://tv.zua.edu.cn/livetv/hjjctv
世界地理,rtmp://tv.zua.edu.cn/livetv/sjdltv
国防军事,rtmp://tv.zua.edu.cn/livetv/gfjstv
北京卫视,rtmp://tv.zua.edu.cn/livetv/btv1
北京文艺,rtmp://tv.zua.edu.cn/livetv/btv2
北京科教,rtmp://tv.zua.edu.cn/livetv/btv3
北京影视,rtmp://tv.zua.edu.cn/livetv/btv4
北京财经,rtmp://tv.zua.edu.cn/livetv/btv5
北京体育,rtmp://tv.zua.edu.cn/livetv/btv6
北京生活,rtmp://tv.zua.edu.cn/livetv/btv7
北京青年,rtmp://tv.zua.edu.cn/livetv/btv8
北京新闻,rtmp://tv.zua.edu.cn/livetv/btv9
北京卡酷少儿,rtmp://tv.zua.edu.cn/livetv/btv10
浙江卫视,rtmp://tv.zua.edu.cn/livetv/zjtv
湖南卫视,rtmp://tv.zua.edu.cn/livetv/hunantv
江苏卫视,rtmp://tv.zua.edu.cn/livetv/jstv
东方卫视,rtmp://tv.zua.edu.cn/livetv/dftv
深圳卫视,rtmp://tv.zua.edu.cn/livetv/sztv
安徽卫视,rtmp://tv.zua.edu.cn/livetv/ahtv
河南卫视,rtmp://tv.zua.edu.cn/livetv/hntv
陕西卫视,rtmp://tv.zua.edu.cn/livetv/sxtv
吉林卫视,rtmp://tv.zua.edu.cn/livetv/jltv
广东卫视,rtmp://tv.zua.edu.cn/livetv/gdtv
山东卫视,rtmp://tv.zua.edu.cn/livetv/sdtv
湖北卫视,rtmp://tv.zua.edu.cn/livetv/hbtv
广西卫视,rtmp://tv.zua.edu.cn/livetv/gxtv
河北卫视,rtmp://tv.zua.edu.cn/livetv/hebtv
西藏卫视,rtmp://tv.zua.edu.cn/livetv/xztv
内蒙古卫视,rtmp://tv.zua.edu.cn/livetv/nmtv
青海卫视,rtmp://tv.zua.edu.cn/livetv/qhtv
四川卫视,rtmp://tv.zua.edu.cn/livetv/sctv
天津卫视,rtmp://tv.zua.edu.cn/livetv/tjtv
山西卫视,rtmp://tv.zua.edu.cn/livetv/sxrtv
辽宁卫视,rtmp://tv.zua.edu.cn/livetv/lntv
厦门卫视,rtmp://tv.zua.edu.cn/livetv/xmtv
新疆卫视,rtmp://tv.zua.edu.cn/livetv/xjtv
黑龙江卫视,rtmp://tv.zua.edu.cn/livetv/hljtv
云南卫视,rtmp://tv.zua.edu.cn/livetv/yntv
江西卫视,rtmp://tv.zua.edu.cn/livetv/jxtv
福建东南卫视,rtmp://tv.zua.edu.cn/livetv/dntv
贵州卫视,rtmp://tv.zua.edu.cn/livetv/gztv
宁夏卫视,rtmp://tv.zua.edu.cn/livetv/nxtv
甘肃卫视,rtmp://tv.zua.edu.cn/livetv/gstv
重庆卫视,rtmp://tv.zua.edu.cn/livetv/cqtv
兵团卫视,rtmp://tv.zua.edu.cn/livetv/bttv
旅游卫视,rtmp://tv.zua.edu.cn/livetv/lytv
中国教育电视台1,rtmp://tv.zua.edu.cn/livetv/cetv1
中国教育电视台3,rtmp://tv.zua.edu.cn/livetv/cetv3
中国教育电视台4,rtmp://tv.zua.edu.cn/livetv/cetv4
CHC动作电影,rtmp://tv.zua.edu.cn/livetv/chcatv
CHC家庭影院,rtmp://tv.zua.edu.cn/livetv/chctv
优漫卡通,rtmp://tv.zua.edu.cn/livetv/ymkttv
新动漫,rtmp://tv.zua.edu.cn/livetv/xdmtv
辽宁影视剧,rtmp://tv.zua.edu.cn/livetv/lnysjtv
辽宁体育,rtmp://tv.zua.edu.cn/livetv/lntytv
延边卫视,rtmp://tv.zua.edu.cn/livetv/ybtv
金鹰卡通,rtmp://tv.zua.edu.cn/livetv/jykttv
炫动卡通,rtmp://tv.zua.edu.cn/livetv/xdkttv
山东教育电视台,rtmp://tv.zua.edu.cn/livetv/sdetv
文化精品,rtmp://tv.zua.edu.cn/livetv/whjptv
老故事,rtmp://tv.zua.edu.cn/livetv/lgstv
发现之旅,rtmp://tv.zua.edu.cn/livetv/fxzltv
探案剧场,rtmp://tv.zua.edu.cn/livetv/tajctv

